siteName,Lat,Long
harvard,42.5378,-72.1715
hubbardbrooksfws,43.9269,-71.7407
umichbiological,45.55984,-84.71382
coweeta,35.05959,-83.42798
bartlettir,44.0646,-71.2881
missouriozarks,38.7441,-92.2
morganmonroe,39.3231,-86.4131
willowcreek,45.805986,-90.0791
bullshoals,36.5628,-93.0666
dukehw,35.9736,-79.1004
marcell,47.5139,-93.46925
shiningrock,35.390159,-82.774967
asuhighlands,36.2076,-81.7032
bostoncommon,42.355912,-71.064145
caryinstitute,41.7839,-73.7341
proctor,44.525,-72.866
readingma,42.5304,-71.1272
macleish,42.4484,-72.6804
nist,39.139,-77.2125
ncssm,36.0184,-78.9208
NEON.D01.HARV.DP1.00033,42.5369,-72.1727
NEON.D01.BART.DP1.00033,44.0639,-71.2874
NEON.D02.SCBI.DP1.00033,38.8929,-78.1395
NEON.D05.STEI.DP1.00033,45.5089,-89.5864
NEON.D06.UKFS.DP1.00033,39.0404,-95.1922
NEON.D07.GRSM.DP1.00033,35.689,-83.502
NEON.D08.DELA.DP1.00033,32.5417,-87.8039
NEON.D11.CLBJ.DP1.00033,33.4012,-97.57